Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,US-2021-100001,05/06/2021,05/11/2021,Standard Class,CU-10075,Customer 146,Corporate,United States,Massachusetts,Massachusetts,93407,East,TEC-MAC-8033,Technology,Machines,Machines model 193,2864.06,2,0.0,149.06
2,US-2021-100002,05/15/2021,05/19/2021,First Class,CU-10051,Customer 542,Corporate,United States,Nevada,Nevada,80053,West,OFF-STO-7838,Office Supplies,Storage,Storage model 59,749.55,8,0.1,242.39
3,US-2023-100003,12/22/2023,12/27/2023,Standard Class,CU-10595,Customer 549,Corporate,United States,Washington,Washington,52812,West,FUR-BOO-3971,Furniture,Bookcases,Bookcases model 68,7615.91,9,0.1,2355.95
4,US-2023-100004,07/09/2023,07/14/2023,Standard Class,CU-10249,Customer 666,Home Office,United States,Michigan,Michigan,27991,Central,TEC-MAC-8243,Technology,Machines,Machines model 3,746.46,1,0.0,231.94
5,US-2022-100005,02/09/2022,02/15/2022,Standard Class,CU-10367,Customer 63,Home Office,United States,Alabama,Alabama,78849,South,OFF-ART-6170,Office Supplies,Art,Art model 190,144.8,6,0.15,38.41
6,US-2023-100006,05/31/2023,06/01/2023,Standard Class,CU-10349,Customer 734,Consumer,United States,Michigan,Michigan,36423,Central,OFF-STO-4908,Office Supplies,Storage,Storage model 198,256.95,4,0.0,10.81
7,US-2022-100007,08/21/2022,08/24/2022,Standard Class,CU-10651,Customer 720,Corporate,United States,New Jersey,New Jersey,55093,East,OFF-ART-9441,Office Supplies,Art,Art model 46,31.18,4,0.2,5.4
8,US-2021-100008,12/15/2021,12/18/2021,Second Class,CU-10504,Customer 365,Corporate,United States,Oregon,Oregon,33928,West,OFF-STO-7877,Office Supplies,Storage,Storage model 290,109.09,7,0.4,8.72
9,US-2023-100009,12/12/2023,12/14/2023,Standard Class,CU-10077,Customer 370,Consumer,United States,Nevada,Nevada,87094,West,OFF-ART-1175,Office Supplies,Art,Art model 227,71.09,1,0.0,15.33
10,US-2021-100010,07/24/2021,07/29/2021,Standard Class,CU-10519,Customer 542,Corporate,United States,Oregon,Oregon,19306,West,OFF-STO-2576,Office Supplies,Storage,Storage model 176,63.33,1,0.1,16.8
11,US-2022-100011,10/15/2022,10/18/2022,Standard Class,CU-10472,Customer 536,Consumer,United States,Florida,Florida,54163,South,OFF-LAB-4970,Office Supplies,Labels,Labels model 281,812.11,6,0.2,183.31
12,US-2024-100012,10/24/2024,10/27/2024,Standard Class,CU-10416,Customer 252,Corporate,United States,New Jersey,New Jersey,19771,East,OFF-STO-6993,Office Supplies,Storage,Storage model 201,37.01,5,0.3,1.34
13,US-2024-100013,10/02/2024,10/08/2024,First Class,CU-10086,Customer 368,Consumer,United States,Pennsylvania,Pennsylvania,82741,East,OFF-ART-9667,Office Supplies,Art,Art model 95,109.96,3,0.15,48.3
14,US-2024-100014,08/15/2024,08/17/2024,Second Class,CU-10748,Customer 676,Corporate,United States,Massachusetts,Massachusetts,90170,East,OFF-PAP-3010,Office Supplies,Paper,Paper model 268,88.07,9,0.5,0.52
15,US-2022-100015,05/05/2022,05/10/2022,Standard Class,CU-10298,Customer 54,Corporate,United States,New Jersey,New Jersey,84799,East,TEC-MAC-9026,Technology,Machines,Machines model 46,1870.64,4,0.4,-346.49
16,US-2021-100016,03/07/2021,03/09/2021,Standard Class,CU-10248,Customer 223,Corporate,United States,Texas,Texas,21863,Central,TEC-ACC-1161,Technology,Accessories,Accessories model 203,2823.82,3,0.0,651.28
17,US-2024-100017,01/24/2024,01/29/2024,Standard Class,CU-10159,Customer 105,Consumer,United States,Florida,Florida,53972,South,OFF-STO-5574,Office Supplies,Storage,Storage model 199,434.94,4,0.0,46.7
18,US-2022-100018,12/30/2022,12/31/2022,Standard Class,CU-10444,Customer 145,Corporate,United States,Nevada,Nevada,93971,West,TEC-MAC-7644,Technology,Machines,Machines model 241,1870.46,6,0.1,968.19
19,US-2023-100019,08/27/2023,08/28/2023,Standard Class,CU-10663,Customer 741,Corporate,United States,Washington,Washington,48328,West,FUR-FUR-2023,Furniture,Furnishings,Furnishings model 195,2083.7,3,0.15,84.57
20,US-2022-100020,01/28/2022,01/30/2022,First Class,CU-10596,Customer 254,Consumer,United States,Alabama,Alabama,37929,South,OFF-STO-9309,Office Supplies,Storage,Storage model 44,174.18,9,0.15,29.83
21,US-2023-100021,04/24/2023,04/26/2023,Second Class,CU-10092,Customer 642,Corporate,United States,Alabama,Alabama,45426,South,OFF-BIN-8453,Office Supplies,Binders,Binders model 96,65.16,5,0.0,16.34
22,US-2023-100022,02/23/2023,02/24/2023,Standard Class,CU-10145,Customer 740,Home Office,United States,North Carolina,North Carolina,57137,South,TEC-COP-9041,Technology,Copiers,Copiers model 31,5153.22,5,0.1,131.62
23,US-2023-100023,10/04/2023,10/05/2023,Second Class,CU-10674,Customer 591,Consumer,United States,Massachusetts,Massachusetts,22109,East,TEC-PHO-8433,Technology,Phones,Phones model 161,10975.32,8,0.2,1183.91
24,US-2024-100024,02/19/2024,02/22/2024,Standard Class,CU-10511,Customer 404,Home Office,United States,Oregon,Oregon,42974,West,OFF-LAB-7631,Office Supplies,Labels,Labels model 98,171.56,7,0.1,68.47
25,US-2024-100025,03/03/2024,03/10/2024,First Class,CU-10733,Customer 442,Consumer,United States,Washington,Washington,57944,West,OFF-ART-7895,Office Supplies,Art,Art model 190,335.14,7,0.3,42.18
26,US-2023-100026,05/23/2023,05/28/2023,First Class,CU-10688,Customer 578,Consumer,United States,Pennsylvania,Pennsylvania,22366,East,FUR-TAB-9638,Furniture,Tables,Tables model 287,762.75,5,0.2,159.88
27,US-2024-100027,12/26/2024,01/01/2025,Standard Class,CU-10756,Customer 6,Corporate,United States,Massachusetts,Massachusetts,61518,East,TEC-ACC-5282,Technology,Accessories,Accessories model 140,2092.75,9,0.15,46.36
28,US-2023-100028,01/26/2023,01/30/2023,Standard Class,CU-10479,Customer 737,Home Office,United States,Michigan,Michigan,79688,Central,TEC-COP-2874,Technology,Copiers,Copiers model 201,844.25,3,0.0,198.61
29,US-2023-100029,07/16/2023,07/18/2023,Standard Class,CU-10291,Customer 102,Home Office,United States,Illinois,Illinois,75670,Central,OFF-LAB-2583,Office Supplies,Labels,Labels model 166,196.09,8,0.4,-27.21
30,US-2021-100030,07/24/2021,07/27/2021,Standard Class,CU-10789,Customer 382,Corporate,United States,Alabama,Alabama,62942,South,OFF-ART-1291,Office Supplies,Art,Art model 206,780.36,6,0.3,22.81
31,US-2022-100031,09/22/2022,09/25/2022,Same Day,CU-10366,Customer 35,Consumer,United States,Texas,Texas,89127,Central,TEC-MAC-7159,Technology,Machines,Machines model 85,14041.23,9,0.2,-1571.42
32,US-2021-100032,02/04/2021,02/09/2021,Second Class,CU-10520,Customer 646,Consumer,United States,Alabama,Alabama,27838,South,TEC-PHO-1131,Technology,Phones,Phones model 273,259.76,2,0.0,39.76
33,US-2021-100033,08/17/2021,08/18/2021,First Class,CU-10484,Customer 96,Home Office,United States,Oregon,Oregon,79488,West,FUR-BOO-8614,Furniture,Bookcases,Bookcases model 209,5850.08,8,0.0,1710.65
34,US-2021-100034,06/16/2021,06/17/2021,Standard Class,CU-10403,Customer 12,Corporate,United States,Alabama,Alabama,34368,South,FUR-BOO-1899,Furniture,Bookcases,Bookcases model 213,4783.87,7,0.0,-201.31
35,US-2021-100035,04/13/2021,04/18/2021,Same Day,CU-10033,Customer 473,Home Office,United States,Ohio,Ohio,51269,Central,FUR-TAB-5886,Furniture,Tables,Tables model 235,801.52,1,0.0,80.08
36,US-2021-100036,12/29/2021,01/05/2022,Standard Class,CU-10241,Customer 552,Home Office,United States,Oregon,Oregon,46362,West,FUR-TAB-9222,Furniture,Tables,Tables model 142,2381.78,5,0.4,184.6
37,US-2021-100037,05/17/2021,05/20/2021,Standard Class,CU-10342,Customer 481,Home Office,United States,New York,New York,38533,East,OFF-BIN-9283,Office Supplies,Binders,Binders model 11,564.66,6,0.1,-55.58
38,US-2021-100038,05/20/2021,05/25/2021,Standard Class,CU-10452,Customer 157,Corporate,United States,Washington,Washington,48827,West,OFF-STO-5766,Office Supplies,Storage,Storage model 188,395.81,4,0.0,51.1
39,US-2023-100039,03/27/2023,04/03/2023,Standard Class,CU-10736,Customer 33,Home Office,United States,Illinois,Illinois,20426,Central,OFF-STO-1503,Office Supplies,Storage,Storage model 22,160.88,2,0.0,8.41
40,US-2023-100040,04/06/2023,04/09/2023,Standard Class,CU-10138,Customer 567,Home Office,United States,Alabama,Alabama,23825,South,OFF-BIN-3154,Office Supplies,Binders,Binders model 180,512.74,5,0.3,-84.22
41,US-2021-100041,04/22/2021,04/29/2021,Standard Class,CU-10617,Customer 539,Corporate,United States,Texas,Texas,28814,Central,TEC-MAC-7807,Technology,Machines,Machines model 158,6272.5,5,0.1,971.75
42,US-2024-100042,09/05/2024,09/12/2024,Standard Class,CU-10444,Customer 668,Home Office,United States,California,California,77978,West,TEC-PHO-1371,Technology,Phones,Phones model 130,2824.55,9,0.1,207.94
43,US-2021-100043,12/23/2021,12/30/2021,Standard Class,CU-10035,Customer 215,Home Office,United States,Washington,Washington,31929,West,FUR-BOO-8564,Furniture,Bookcases,Bookcases model 253,2130.91,9,0.15,-509.58
44,US-2024-100044,03/05/2024,03/11/2024,Second Class,CU-10046,Customer 551,Corporate,United States,North Carolina,North Carolina,86680,South,OFF-ART-4328,Office Supplies,Art,Art model 151,454.44,6,0.3,65.2
45,US-2022-100045,07/15/2022,07/18/2022,Standard Class,CU-10399,Customer 6,Consumer,United States,Nevada,Nevada,40496,West,TEC-ACC-3847,Technology,Accessories,Accessories model 58,4179.69,6,0.3,282.85
46,US-2022-100046,09/06/2022,09/09/2022,Second Class,CU-10478,Customer 703,Corporate,United States,California,California,52975,West,OFF-LAB-9861,Office Supplies,Labels,Labels model 228,86.55,2,0.15,-8.5
47,US-2023-100047,06/30/2023,07/06/2023,Same Day,CU-10693,Customer 85,Corporate,United States,Ohio,Ohio,98611,Central,TEC-ACC-2385,Technology,Accessories,Accessories model 87,3996.45,5,0.15,620.72
48,US-2021-100048,01/07/2021,01/08/2021,Standard Class,CU-10032,Customer 59,Home Office,United States,North Carolina,North Carolina,81430,South,OFF-ART-6847,Office Supplies,Art,Art model 26,221.18,3,0.1,-27.92
49,US-2022-100049,10/11/2022,10/17/2022,Second Class,CU-10029,Customer 6,Corporate,United States,New Jersey,New Jersey,87890,East,TEC-COP-7658,Technology,Copiers,Copiers model 222,767.72,3,0.15,-71.83
50,US-2021-100050,05/29/2021,06/03/2021,First Class,CU-10686,Customer 488,Corporate,United States,Nevada,Nevada,70444,West,OFF-BIN-3291,Office Supplies,Binders,Binders model 72,238.86,3,0.0,23.88
51,US-2024-100051,08/10/2024,08/13/2024,Standard Class,CU-10472,Customer 359,Corporate,United States,Nevada,Nevada,74586,West,TEC-MAC-4823,Technology,Machines,Machines model 242,11234.15,7,0.0,2998.78
52,US-2023-100052,02/19/2023,02/20/2023,Standard Class,CU-10459,Customer 275,Corporate,United States,Ohio,Ohio,22092,Central,OFF-PAP-1927,Office Supplies,Paper,Paper model 110,206.86,2,0.1,16.84
53,US-2022-100053,03/17/2022,03/21/2022,Standard Class,CU-10507,Customer 277,Corporate,United States,New York,New York,90728,East,FUR-BOO-4476,Furniture,Bookcases,Bookcases model 71,2891.62,9,0.2,-102.26
54,US-2024-100054,12/07/2024,12/13/2024,First Class,CU-10472,Customer 1,Home Office,United States,Illinois,Illinois,35491,Central,OFF-LAB-1545,Office Supplies,Labels,Labels model 168,96.82,2,0.0,22.5
55,US-2024-100055,06/11/2024,06/15/2024,Standard Class,CU-10795,Customer 255,Corporate,United States,Nevada,Nevada,19170,West,OFF-ART-4843,Office Supplies,Art,Art model 196,1041.62,9,0.2,29.31
